producto;tramo_negocio;periodo;DTR;cliente;target;tipo
Producto A;Tramo 2;202202;Grupo 5;278;0.665467626;Actual
Producto A;Tramo 2;202203;Grupo 1;49;0.06122449;Actual
Producto A;Tramo 2;202203;Grupo 2;296;0.070945946;Actual
Producto A;Tramo 2;202203;Grupo 3;827;0.166868198;Actual
Producto A;Tramo 2;202203;Grupo 4;585;0.369230769;Actual
Producto A;Tramo 2;202203;Grupo 5;374;0.612299465;Actual
Producto A;Tramo 2;202204;Grupo 1;72;0.041666667;Actual
Producto A;Tramo 2;202204;Grupo 2;275;0.047272727;Actual
Producto A;Tramo 2;202204;Grupo 3;907;0.187431092;Actual
Producto A;Tramo 2;202204;Grupo 4;543;0.362799263;Actual
Producto A;Tramo 2;202204;Grupo 5;330;0.621212121;Actual
Producto A;Tramo 2;202205;Grupo 1;30;0.066666667;Actual
Producto A;Tramo 2;202205;Grupo 2;257;0.097276265;Actual
Producto A;Tramo 2;202205;Grupo 3;865;0.184971098;Actual
Producto A;Tramo 2;202205;Grupo 4;614;0.328990228;Actual
Producto A;Tramo 2;202205;Grupo 5;330;0.536363636;Actual
Producto A;Tramo 2;202206;Grupo 1;40;0.075;Actual
Producto A;Tramo 2;202206;Grupo 2;261;0.091954023;Actual
Producto A;Tramo 2;202206;Grupo 3;992;0.172379032;Actual
Producto A;Tramo 2;202206;Grupo 4;724;0.324585635;Actual
Producto A;Tramo 2;202206;Grupo 5;344;0.555232558;Actual
Producto A;Tramo 2;202207;Grupo 1;53;0.037735849;Actual
Producto A;Tramo 2;202207;Grupo 2;398;0.052763819;Actual
Producto A;Tramo 2;202207;Grupo 3;1048;0.128816794;Actual
Producto A;Tramo 2;202207;Grupo 4;656;0.324695122;Actual
Producto A;Tramo 2;202207;Grupo 5;339;0.572271386;Actual
Producto A;Tramo 2;202201;Grupo 1;356;0.053370787;Nuevo
Producto A;Tramo 2;202201;Grupo 2;480;0.19375;Nuevo
Producto A;Tramo 2;202201;Grupo 3;379;0.343007916;Nuevo
Producto A;Tramo 2;202201;Grupo 4;504;0.501984127;Nuevo
Producto A;Tramo 2;202201;Grupo 5;195;0.630769231;Nuevo
Producto A;Tramo 2;202202;Grupo 1;352;0.068181818;Nuevo
Producto A;Tramo 2;202202;Grupo 2;471;0.16985138;Nuevo
Producto A;Tramo 2;202202;Grupo 3;327;0.345565749;Nuevo
Producto A;Tramo 2;202202;Grupo 4;450;0.428888889;Nuevo
Producto A;Tramo 2;202202;Grupo 5;137;0.627737226;Nuevo
Producto A;Tramo 2;202203;Grupo 1;378;0.066137566;Nuevo
Producto A;Tramo 2;202203;Grupo 2;589;0.154499151;Nuevo
Producto A;Tramo 2;202203;Grupo 3;427;0.283372365;Nuevo
Producto A;Tramo 2;202203;Grupo 4;540;0.459259259;Nuevo
Producto A;Tramo 2;202203;Grupo 5;201;0.611940299;Nuevo
Producto A;Tramo 2;202204;Grupo 1;338;0.035502959;Nuevo
Producto A;Tramo 2;202204;Grupo 2;532;0.137218045;Nuevo
Producto A;Tramo 2;202204;Grupo 3;423;0.26713948;Nuevo
Producto A;Tramo 2;202204;Grupo 4;575;0.417391304;Nuevo
Producto A;Tramo 2;202204;Grupo 5;261;0.578544061;Nuevo
Producto A;Tramo 2;202205;Grupo 1;259;0.054054054;Nuevo
Producto A;Tramo 2;202205;Grupo 2;528;0.121212121;Nuevo
Producto A;Tramo 2;202205;Grupo 3;400;0.2625;Nuevo
Producto A;Tramo 2;202205;Grupo 4;654;0.360856269;Nuevo
Producto A;Tramo 2;202205;Grupo 5;256;0.578125;Nuevo
Producto A;Tramo 2;202206;Grupo 1;306;0.052287582;Nuevo
Producto A;Tramo 2;202206;Grupo 2;562;0.138790036;Nuevo
Producto A;Tramo 2;202206;Grupo 3;469;0.232409382;Nuevo
