CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
HTI,Haiti,30.6,32.6,10847334.00,5543.28,1.87,37.43,0.51,16.90,28.48,52.48,5.96,3.68,6.34,47.97,55.38,46.80,67.00,359.32,40.57,61.00,39.82,814.29
HND,Honduras,29.5,30.1,9112867.00,6564.09,0.90,16.45,0.21,12.80,28.92,52.99,3.56,5.12,6.46,82.88,89.33,14.80,18.70,129.31,76.42,88.99,70.78,2093.41
IND,India,22.9,14.7,1324171354.00,4147.23,2.66,16.31,0.14,17.61,31.04,50.85,4.82,3.59,8.37,74.20,83.33,14.50,43.00,174.33,65.07,69.30,73.97,1590.70
IDN,Indonesia,24.2,23.6,261115456.00,6123.63,7.37,13.19,0.14,13.85,24.92,31.15,0.34,2.77,10.60,90.37,91.70,7.90,26.40,126.19,89.05,95.38,85.84,3639.73
IRN,Iran (Islamic Republic of),24.7,16.1,80277428.00,3461.10,1.27,34.48,0.56,10.05,33.35,47.87,3.08,3.58,10.65,90.96,98.13,5.50,15.10,25.17,83.79,84.71,89.17,5812.57
IRQ,Iraq,26.3,25.8,37202572.00,3235.41,5.81,52.80,0.96,4.31,26.68,28.92,0.02,8.57,12.33,59.20,81.81,27.80,31.20,49.60,36.60,43.68,53.46,5426.91
ISR,Israel,20.1,16.3,8191828.00,2921.17,1.57,10.35,0.27,1.30,23.86,40.55,1.33,2.91,7.15,99.25,99.99,2.50,3.60,5.24,98.51,97.76,102.48,37420.16
JAM,Jamaica,30.5,37.2,2881355.00,5765.96,3.63,27.55,0.48,7.21,23.87,40.64,1.55,2.58,7.13,88.55,94.71,8.40,15.30,88.57,82.39,88.50,82.11,4747.33
JOR,Jordan,20.1,13.9,9455802.00,2971.26,0.00,6.13,0.16,3.86,26.38,43.35,0.33,7.37,7.82,92.92,96.99,4.20,17.60,57.70,88.84,97.89,82.45,3893.31
KAZ,Kazakhstan,27.5,26.9,17987736.00,3917.31,0.00,31.20,0.57,4.85,28.22,46.00,0.24,9.06,8.13,99.69,99.52,2.50,11.40,11.95,99.85,99.78,112.01,10633.50
KEN,Kenya,26.4,25.3,48461567.00,5835.37,0.41,31.80,0.19,32.15,27.54,55.08,7.21,4.18,4.25,67.01,70.17,19.10,49.20,509.52,63.84,78.73,60.43,1316.05
KIR,Kiribati,73.7,86.8,114395.00,8727.92,95.22,64.31,0.87,23.36,60.55,82.57,5.14,15.17,16.56,83.97,88.69,3.30,54.30,89.79,79.25,79.59,87.14,2986.23
KWT,Kuwait,26.7,39.3,4052584.00,3628.74,17.40,31.94,0.64,0.48,14.04,14.78,0.00,6.97,8.99,97.17,100.00,2.50,8.40,4.12,94.33,95.69,94.97,41537.45
KGZ,Kyrgyzstan,31.3,30.7,5955734.00,3903.03,0.00,29.70,0.40,15.43,31.95,45.94,1.94,3.99,10.38,95.05,95.01,6.40,21.10,75.51,95.08,99.24,92.05,1201.55
LAO,Lao People’s Democratic Republic,33.7,30.5,6758353.00,4440.94,0.00,22.71,0.22,19.60,36.77,49.54,2.14,5.09,12.20,72.77,77.02,17.10,63.90,197.40,68.52,84.70,61.70,1996.16
LBN,Lebanon,21.1,17.0,6006668.00,2838.27,4.13,2.92,0.11,3.68,25.14,43.36,0.88,4.96,7.08,86.04,99.50,5.40,8.10,14.93,72.57,91.18,61.21,8131.36
LSO,Lesotho,42.0,43.0,2203821.00,8330.26,0.00,14.44,0.28,5.67,41.08,60.25,6.53,6.33,11.58,61.57,64.40,14.50,93.50,487.17,58.74,76.64,53.77,1296.45
LBR,Liberia,53.2,46.2,4613823.00,5338.59,6.38,68.10,0.41,71.45,60.21,33.10,0.08,7.11,31.20,37.23,47.33,42.80,67.40,724.51,27.13,42.94,37.30,430.67
LBY,Libya,37.6,23.4,6293253.00,2504.33,6.17,31.19,0.63,0.90,51.83,3.65,0.00,2.85,42.82,96.78,99.29,5.00,12.90,9.33,94.26,91.39,104.50,6046.90
MDG,Madagascar,37.8,34.6,24894551.00,7532.46,1.66,38.84,0.29,33.82,41.08,44.34,2.19,3.10,16.35,54.53,62.22,42.30,46.40,352.86,46.85,71.57,38.43,485.87
MWI,Malawi,47.1,39.1,18091575.00,6987.03,0.00,42.74,0.46,26.37,55.15,72.89,6.78,10.91,16.23,52.52,61.73,25.90,55.10,634.12,43.32,62.14,43.40,331.44
MYS,Malaysia,21.4,23.6,31187265.00,5325.40,5.10,10.96,0.17,8.82,19.27,35.36,0.52,3.30,5.95,90.99,99.03,2.50,8.30,39.81,82.95,93.12,77.57,10431.65
MDV,Maldives,50.9,70.4,427756.00,5567.25,100.00,43.96,0.77,6.41,31.29,49.72,0.46,8.87,8.86,91.45,96.31,8.50,8.50,67.68,86.59,98.61,77.53,9199.56
MLI,Mali,36.8,39.7,17994837.00,4695.18,0.00,71.02,0.75,39.68,33.85,50.02,1.82,5.66,10.30,43.11,63.44,4.00,110.60,587.08,22.77,33.07,41.31,800.59
